,Age,Fare,Pclass,Sex=male,SibSp,Parch,Embarked=S,Cabin=A,Cabin=B,Cabin=C,Cabin=D,Cabin=E,Cabin=F,Cabin=G,Cabin=T,Age_group=0-22,Fare_group=0-8,Title=Mr,Sex=female,Embarked=C,Age_group=35-80,Fare_group=26-513,Title=Mrs,Age_group=22-28,Title=Miss,Age_group=28-35,Fare_group=8-26,Embarked=Q,Title=Master,Title=Royalty,Title=Rev,Title=Dr,Title=Officer,Survived
Age,1.0,0.18531560577783449,0.4039829345981641,0.13902481174599582,0.39150494222381416,0.4032914257207494,0.19075238202292866,0.26239135508324646,0.21874746685539753,0.20178601435582003,0.17214131549013267,0.1544665940171526,0.11246529189557714,0.0,0.07273277852508303,0.985314655931419,0.3494440384262102,0.43403598475275673,0.13902481174599582,0.030230267540330303,0.9886913369329423,0.35165718362595794,0.2500584780864312,0.8800202017506993,0.3468555590075233,0.55532299699711,0.0,0.27129087710015365,0.7660846904628257,0.1092150775324858,0.1268697294805186,0.16224524286742947,0.24780268983242265,0.20698736959854808
Fare,0.18531560577783449,1.0,0.5881219846810697,0.17674104206386287,0.49758280205842154,0.33720634893149226,0.15787799431630486,0.0,0.5815942508371126,0.6773201146696417,0.2549788089464648,0.16097292853577352,0.0,0.0,0.0,0.09011805906830384,0.25469848732302114,0.15778760382468116,0.1767410420638628,0.2558243200801217,0.1507771210159299,0.6124130340329335,0.15524575434226917,0.055160039945287405,0.1074856533263503,0.06479446303946851,0.347042190868281,0.08616383306188617,0.0,0.0,0.0,0.0,0.0,0.26538725515480255
Pclass,0.4039829345981641,0.5881219846810697,1.0,0.07828112220909739,0.2162956059913769,0.03336050758118686,0.13045309185470802,0.13725816119256423,0.35561379749802435,0.3394336064355747,0.5004023550585768,0.1410603425938062,0.07162526728584456,0.03911243301342332,0.02145601564470753,0.1089342404591304,0.30168490239199935,0.08975025824817977,0.07828112220909735,0.1799164270121624,0.20511984596566032,0.4845858061906519,0.10446099184524328,0.09236249865180175,0.0,0.054452089452909046,0.3097264887465489,0.1411881766786118,0.04332484397504211,0.07490747746458541,0.09324626425558578,0.059222649072773144,0.07490747746458541,0.20546350445675682
Sex=male,0.13902481174599582,0.17674104206386287,0.07828112220909739,1.0,0.19297404819576336,0.23156775442728572,0.1746202961067066,0.09491480268200635,0.09532103413703655,0.06702475003003075,0.04491176967875133,0.05432490126810542,0.0,0.0,0.0,0.10622878614397302,0.2938194031458207,0.9775306395516073,0.9999937120206085,0.11367378843249819,0.0,0.20009546198519138,0.756367737772482,0.06761477416420182,0.8842022576824313,0.0,0.04738426499043723,0.09633313901064486,0.23446053369595263,0.0,0.05038541654957106,0.0,0.0334489057656051,0.7503215961090612
SibSp,0.39150494222381416,0.49758280205842154,0.2162956059913769,0.19297404819576336,1.0,0.5899119033723571,0.0782259318889086,0.0,0.17864902917129555,0.3126110223344508,0.0,0.0,0.03234067020332839,0.0,0.0,0.2730705131240445,0.2939962825664065,0.28865281313647456,0.19297404819576322,0.10384256534876218,0.12011890946151756,0.316850548015854,0.31758526692782313,0.1680690859812632,0.13719488248176837,0.056681795339235355,0.13216488727990883,0.06949981376640872,0.41815092965093364,0.0,0.0,0.10201046836714694,0.0,0.17565156489060194
Parch,0.4032914257207494,0.33720634893149226,0.03336050758118686,0.23156775442728572,0.5899119033723571,1.0,0.003807783190252009,0.0,0.13289815646559905,0.2529748609124646,0.0,0.03447279830024343,0.03768599883369932,0.005987735744189751,0.0,0.27285612675891946,0.2819555919595729,0.3536639017025299,0.23156775442728592,0.0,0.16512800539353437,0.3180894250061039,0.25288907594385585,0.16351542480920667,0.17384237712178063,0.0867796334546187,0.10967532065144774,0.0717224799140968,0.3597756638412869,0.0,0.0,0.0,0.0,0.14708012596282813
Embarked=S,0.19075238202292866,0.15787799431630486,0.13045309185470802,0.1746202961067066,0.0782259318889086,0.003807783190252009,1.0,0.05046088610557234,0.07898893339453253,0.1140005433388996,0.030854253640087495,0.0,0.0,0.035943099425624785,0.0,0.09455098084977659,0.15275925475393817,0.16445490475863717,0.1746202961067066,0.9404793019290416,0.05364820561183457,0.14455578204797137,0.0,0.22302705679718204,0.20257919198864408,0.050477082175554036,0.2905825396074752,0.7005130161818308,0.0,0.02771627509947353,0.0,0.0,0.0,0.2232185151089648
Cabin=A,0.26239135508324646,0.0,0.13725816119256423,0.09491480268200635,0.0,0.0,0.05046088610557234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05302234925427961,0.05876971751671709,0.0,0.09491480268200615,0.11716922727100013,0.1450832503510686,0.21147534269007384,0.03600699632312908,0.0,0.07092102771828135,0.0,0.11352794456557272,0.0,0.0,0.25174276084977754,0.0,0.0,0.05522424779431952,0.0
Cabin=B,0.21874746685539753,0.5815942508371126,0.35561379749802435,0.09532103413703655,0.17864902917129555,0.13289815646559905,0.07898893339453253,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935878446374931,0.08170830380224223,0.09758544498349807,0.09532103413703678,0.1379545875666837,0.076489840758178,0.24569856984662033,0.0340530658087183,0.060953529019122266,0.07756853395143928,0.02644460291798692,0.14748786826353882,0.022847958825760642,0.0,0.0,0.0,0.0,0.09816630483039182,0.13561339710280387
Cabin=C,0.20178601435582003,0.6773201146696417,0.3394336064355747,0.06702475003003075,0.3126110223344508,0.2529748609124646,0.1140005433388996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16812156198965508,0.2283572973764432,0.09221466369808325,0.06702475003003112,0.17969181328161635,0.22003302358681257,0.5481456845290869,0.12318151781858427,0.0,0.0,0.0,0.3137346355031168,0.0,0.09595521738710239,0.0,0.0,0.0,0.0,0.15232435062790092
Cabin=D,0.17214131549013267,0.2549788089464648,0.5004023550585768,0.04491176967875133,0.0,0.0,0.030854253640087495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008913442842382789,0.06616214287905799,0.024596243911433394,0.044911769678750345,0.06369446198079186,0.08249742606989319,0.11975824616673382,0.037788193964356315,0.04572190387501995,0.0,0.0,0.044503114133348086,0.022506340076816293,0.0,0.0,0.0,0.01171958346721575,0.0,0.087043850648342
Cabin=E,0.1544665940171526,0.16097292853577352,0.1410603425938062,0.05432490126810542,0.0,0.03447279830024343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09387490419183854,0.16836179105008214,0.0,0.05432490126810542,0.0,0.1977680185862173,0.2415351004431456,0.0,0.05579821491262551,0.0,0.0,0.04550111992594578,0.0,0.0,0.0,0.0,0.0,0.0,0.21929220490916757
Cabin=F,0.11246529189557714,0.0,0.07162526728584456,0.0,0.03234067020332839,0.03768599883369932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38579424509643784,0.0,0.0,0.0,0.03060865630476184,0.0,0.0,0.0,0.020206746891749127,0.0,0.0,0.0,0.0,0.0,0.0,0.1252268546751142,0.0,0.0,0.0,0.0,0.05468194370232688
Cabin=G,0.0,0.0,0.03911243301342332,0.0,0.0,0.005987735744189751,0.035943099425624785,0.0,0.0,0.0,0.0,0.0,0.38579424509643784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05638416790541372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabin=T,0.07273277852508303,0.0,0.02145601564470753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age_group=0-22,0.985314655931419,0.09011805906830384,0.1089342404591304,0.10622878614397302,0.2730705131240445,0.27285612675891946,0.09455098084977659,0.05302234925427961,0.04935878446374931,0.16812156198965508,0.008913442842382789,0.09387490419183854,0.0,0.0,0.0,1.0,0.0,0.27320507745644,0.10622878614397302,0.0,0.49709367520739256,0.0,0.22498862945618742,0.6206210997459564,0.34168298782467244,0.3743659164824125,0.0,0.07608137465895422,0.46677748762633425,0.0,0.0,0.028650095596976476,0.0,0.05070413270407503
Fare_group=0-8,0.3494440384262102,0.25469848732302114,0.30168490239199935,0.2938194031458207,0.2939962825664065,0.2819555919595729,0.15275925475393817,0.05876971751671709,0.08170830380224223,0.2283572973764432,0.06616214287905799,0.16836179105008214,0.0,0.0,0.0,0.0,1.0,0.4007433511587165,0.29381940314582056,0.09764577624916039,0.23435410517105215,0.6186312295052286,0.34855866602325525,0.28506993691750243,0.0,0.04080144960943397,0.6982809833366357,0.40413587061582007,0.18960667672359782,0.0,0.014149855339074839,0.03398313098247032,0.0,0.31683134827453674
